Asset Event Count (by Type),,,
Shows number of events per event type and asset,,,
Report Parameters,,,
StartTimeFilter: 31/12/2017 06:17:00 GMT,,,
EndTimeFilter: 07/01/2018 06:17:00 GMT,,,
Language: English,,,
Asset,,Event Type,Occurrences
353816057515878 Rmvd frm P01480,,,
3.53816E+14,,,
3.53816E+14,,Power Up,5
3.53816E+14,,Tag In,1
3.53816E+14,,Tag Out,1
3.53816E+14,,External Power Loss,1
3.53816E+14,Count: 4,,Sum: 8
353816057580898 Rmvd frm P01853,,,
353816057784185 Rmvd frm P02611,,,
353816057787105 Rmvd frm P02608,,,
353816057787352 Rmvd frm P01906,,,
353816057787352 Rmvd frm P01906,,Power Up,3
353816057787352 Rmvd frm P01906,,Tag Out,3
353816057787352 Rmvd frm P01906,,Tag In,2
353816057787352 Rmvd frm P01906,,Journey Summary,2
353816057787352 Rmvd frm P01906,,Ignition Off,2
353816057787352 Rmvd frm P01906,,Ignition On,2
353816057787352 Rmvd frm P01906,,External Power Restore,1
353816057787352 Rmvd frm P01906,,External Power Loss,1
353816057787352 Rmvd frm P01906,Count: 8,,Sum: 16
353816057787758 Rmvd frm P01975,,,
353816057788426 Rmvd frm P01846,,,
353816057788434 Rmvd frm P02637,,,
353816057788459 Rmvd frm P01848,,,
353816057788459 Rmvd frm P01848,,Tag In,2
353816057788459 Rmvd frm P01848,,Tag Out,3
353816057788459 Rmvd frm P01848,,Journey Summary,1
353816057788459 Rmvd frm P01848,,Ignition Off,1
353816057788459 Rmvd frm P01848,,Ignition On,1
353816057788459 Rmvd frm P01848,,External Power Restore,3
353816057788459 Rmvd frm P01848,,External Power Loss,2
353816057788459 Rmvd frm P01848,,Power Up,1
353816057788459 Rmvd frm P01848,Count: 8,,Sum: 14
356363051429811 Rmvd frm V00797,,,
356363051443788 Rmvd frm V00474,,,
356363051444042 Rmd frm LV400-AW,,,
356363051444075 Rmd frm LV0399,,,
356363051445031 Rmvd frm LV1132,,,
356363051445239 Rmd frm LV392-AW,,,
356363051445338 Rmd frm LV394-AW,,,
356363051445551 Rmd frm LV390-AW,,,
356363051448043 Rmd frm LV398-AW,,,
356363052011261 Rmvd frm V01032,,,
356363052011410 Rmvd frm P01976,,,
356363052011444 Rmd frm LV0393,,,
356363052112531 Rmvd frm V01090,,,
356363052112754 Rmvd frm LV1203,,,
356363052112754 Rmvd frm V00816,,,
356363052114628 Rmvd frm V00625,,,
356363052114792 Rmvd frm V00305,,,
356363052114909 Rmvd frm V01003,,,
3.56363E+14,,,
356363052177823 Rmvd frm V01006,,,
356363052178292 Rmd frm LV0397,,,
356363052178391 Rmvd frm V00828,,,
356363052178482 Rmd frm LV0401,,,
356363052181718 Rmvd frm V00620,,,
356363052185867 Rmvd frm LV1127,,,
356363052186097 Rmvd frm P02636,,,
356363056401609 Rmd frm LV395-AW,,,
356363056402144 Rmvd frm P01931,,,
356363056405683 Rmd frm LV0396,,,
356363056406905 Rmd frm LV0391,,,
356363056442330 Rmvd frm LE0018,,,
356363056442645 Rmvd frm LE0019,,,
356363056945712 Rmd frm LV402-AW,,,
356363056946199 Rmvd frm LE0016,,,
3.57852E+14,,,
359006055375855 Rmvd frm V00557,,,
359006059526032 Rmvd frm LV1202,,,
359006059528814 Rmvd frm LV1203,,,
359006059528905 Rmvd frm LE0040,,,
359006059534135 Rmvd frm P01602,,,
359006059535470 Rmvd frm V00142,,,
359006059543664 Rmvd frm LV1180,,,
3.59315E+14,,,
3.59315E+14,,,
3.59315E+14,,,
HE0001 O-49829,,,
HE0001 O-49829,,Tag Out,36
HE0001 O-49829,,Ignition Off,36
HE0001 O-49829,,Journey Periodic,346
HE0001 O-49829,,Idle Start,20
HE0001 O-49829,,Ignition On,36
HE0001 O-49829,,Tag In,36
HE0001 O-49829,,Heartbeat,13
HE0001 O-49829,,Idle End,14
HE0001 O-49829,,External Power Restore,2
HE0001 O-49829,,External Power Loss,2
HE0001 O-49829,,Power Up,2
HE0001 O-49829,Count: 11,,Sum: 543
HE0002 J-11902,,,
HE0002 J-11902,,Journey Periodic,460
HE0002 J-11902,,Idle End,32
HE0002 J-11902,,Idle Start,32
HE0002 J-11902,,Power Up,7
HE0002 J-11902,,Ignition On,7
HE0002 J-11902,,Tag In,6
HE0002 J-11902,,Tag Out,5
HE0002 J-11902,,Ignition Off,6
HE0002 J-11902,,Heartbeat,5
HE0002 J-11902,Count: 9,,Sum: 560
HE0003 K-45159,,,
HE0003 K-45159,,Journey Periodic,621
HE0003 K-45159,,Idle Start,8
HE0003 K-45159,,Tag In,39
HE0003 K-45159,,Ignition On,40
HE0003 K-45159,,Tag Out,39
HE0003 K-45159,,Ignition Off,40
HE0003 K-45159,,Heartbeat,14
HE0003 K-45159,,Idle End,6
