Asset Event Count (by Type),,,
Shows number of events per event type and asset,,,
Report Parameters,,,
StartTimeFilter: 01/11/2017 08:36:00 GMT,,,
EndTimeFilter: 16/11/2017 08:36:00 GMT,,,
Language: English,,,
Asset,,Event Type,Occurrences
3.53161E+14,,,
3.53161E+14,,,
AD 1/63222,,,
AD 1/63222,,Heartbeat,1
AD 1/63222,,External Power Loss,1
AD 1/63222,,Tag Out,1
AD 1/63222,,Journey Summary,1
AD 1/63222,,Ignition Off,1
AD 1/63222,,Position Report,1
AD 1/63222,,CAN Periodic,3
AD 1/63222,,Power Up,1
AD 1/63222,Count: 8,,Sum: 10
AD 1/63236,,,
AD 1/63236,,Heartbeat,1
AD 1/63236,,Tag Out,1
AD 1/63236,,Idle End,1
AD 1/63236,,Journey Summary,1
AD 1/63236,,Ignition Off,1
AD 1/63236,,Idle Start,1
AD 1/63236,,CAN Periodic,2
AD 1/63236,Count: 7,,Sum: 8
AD 1/63430,,,
AD 1/63430,,Heartbeat,1
AD 1/63430,,External Power Loss,1
AD 1/63430,,Tag Out,1
AD 1/63430,,Journey Summary,1
AD 1/63430,,Ignition Off,1
AD 1/63430,,Position Report,3
AD 1/63430,,CAN Periodic,3
AD 1/63430,,Power Up,1
AD 1/63430,Count: 8,,Sum: 12
AD 1/84495,,,
AD 1/84495,,Heartbeat,32
AD 1/84495,,External Power Loss,1
AD 1/84495,,Power Up,4
AD 1/84495,,Tag Out,1
AD 1/84495,,Ignition Off,1
AD 1/84495,,Ignition On,1
AD 1/84495,,Tag In,1
AD 1/84495,Count: 7,,Sum: 41
AD 1/91351,,,
AD 1/91351,,Heartbeat,2
AD 1/91351,,External Power Loss,2
AD 1/91351,,Tag Out,2
AD 1/91351,,Journey Summary,2
AD 1/91351,,Ignition Off,2
AD 1/91351,,CAN Periodic,8
AD 1/91351,,Power Up,4
AD 1/91351,,Ignition On,1
AD 1/91351,,Tag In,1
AD 1/91351,,External Power Restore,1
AD 1/91351,,Command Response,1
AD 1/91351,,Idle End,1
AD 1/91351,,Idle Start,1
AD 1/91351,,Position Report,1
AD 1/91351,Count: 14,,Sum: 29
DXB 13326,,,
DXB 24609,,,
DXB 24614,,,
DXB 24614,,Heartbeat,36
DXB 24614,,Power Up,6
DXB 24614,,Tag Out,69
DXB 24614,,Journey Summary,51
DXB 24614,,Stop Moving,177
DXB 24614,,Ignition Off,66
DXB 24614,,Position Report,628
DXB 24614,,Start Moving,177
DXB 24614,,Ignition On,66
DXB 24614,,Tag In,69
DXB 24614,,Geofence Exit,10
DXB 24614,,Geofence Entry,11
DXB 24614,,CAN Periodic,203
DXB 24614,,Idle End,8
DXB 24614,,Idle Start,8
DXB 24614,,External Power Restore,1
DXB 24614,,External Power Loss,1
DXB 24614,Count: 17,,Sum: 1587
DXB 26238,,,
DXB 26238,,Power Up,3
DXB 26238,,Heartbeat,24
DXB 26238,,External Power Loss,2
DXB 26238,,Journey Summary,1
DXB 26238,,Ignition Off,1
DXB 26238,,Stop Moving,1
DXB 26238,,Position Report,2
DXB 26238,,Start Moving,1
DXB 26238,,Ignition On,1
DXB 26238,,External Power Restore,1
DXB 26238,Count: 10,,Sum: 37
DXB 26239,,,
DXB 26239,,Heartbeat,7
DXB 26239,,External Power Loss,1
DXB 26239,,Power Up,1
DXB 26239,Count: 3,,Sum: 9
DXB 26240,,,
DXB 26867,,,
DXB 26867,,Heartbeat,4
DXB 26867,,External Power Loss,1
DXB 26867,,Tag Out,6
DXB 26867,,Journey Summary,1
DXB 26867,,Stop Moving,1
DXB 26867,,Ignition Off,3
DXB 26867,,Position Report,8
DXB 26867,,Geofence Entry,2
DXB 26867,,Geofence Exit,1
DXB 26867,,Start Moving,1
DXB 26867,,Ignition On,3
DXB 26867,,Tag In,6
DXB 26867,,Power Up,1
DXB 26867,Count: 13,,Sum: 38
DXB 26872,,,
DXB 26872,,External Power Loss,1
DXB 26872,,Heartbeat,19
DXB 26872,,Power Up,3
DXB 26872,Count: 3,,Sum: 23
DXB 26929,,,
DXB 26929,,Heartbeat,36
DXB 26929,,Power Up,6
DXB 26929,,Tag Out,5
DXB 26929,,Journey Summary,5
DXB 26929,,Ignition Off,5
DXB 26929,,Stop Moving,9
DXB 26929,,Start Moving,9
DXB 26929,,Ignition On,5
DXB 26929,,Tag In,5
DXB 26929,,Position Report,34
DXB 26929,,Geofence Entry,1
DXB 26929,,CAN Periodic,3
DXB 26929,Count: 12,,Sum: 123
DXB 28579,,,
DXB 28579,,Heartbeat,36
DXB 28579,,Power Up,7
DXB 28579,,Tag Out,5
DXB 28579,,Journey Summary,5
DXB 28579,,Ignition Off,5
DXB 28579,,Ignition On,5
DXB 28579,,Tag In,5
DXB 28579,,Stop Moving,16
DXB 28579,,Position Report,35
DXB 28579,,Start Moving,16
DXB 28579,,CAN Periodic,7
DXB 28579,,Geofence Entry,7
DXB 28579,,Geofence Exit,7
DXB 28579,,External Power Restore,1
DXB 28579,Count: 14,,Sum: 157
DXB 30912,,,
DXB 45424,,,
DXB 45424,,Heartbeat,1
DXB 45424,,External Power Loss,1
DXB 45424,,Tag Out,1
DXB 45424,,Journey Summary,1
DXB 45424,,Ignition Off,1
